X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.9955022837563,38.9346077954385,28467887,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE,classic,30,active,2021/11/01 10:44:43+00,3,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.019029290048,38.9030477877252,28467888,38.90304,-77.019027,5th & K St NW,classic,31,active,2021/11/01 10:48:31+00,16,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9769022755757,38.889607786517,28467889,38.8896,-76.9769,19th & East Capitol St SE,classic,32,active,2021/11/01 10:00:49+00,7,0,7,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0315022951693,38.9308077932707,28467890,38.9308,-77.0315,Park Rd & Holmead Pl NW,classic,33,active,2021/11/01 10:42:38+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9691862712486,38.8616707817042,28467891,38.861663,-76.969184,Good Hope & Naylor Rd SE,classic,34,active,2021/10/31 04:59:34+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0579813042288,38.934274792859,28467892,38.934267,-77.057979,Connecticut Ave & Newark St NW / Cleveland Park,classic,35,active,2021/11/01 11:04:50+00,9,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9607022704313,38.8780077851004,28467893,38.878,-76.9607,Randle Circle & Minnesota Ave SE,classic,36,active,2021/11/01 09:39:01+00,3,0,7,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9474482670777,38.8970707895964,28467894,38.897063,-76.947446,Minnesota Ave Metro/DOES,classic,37,active,2021/11/01 10:33:00+00,9,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9418792657378,38.9013927903953,28467895,38.901385,-76.941877,Nannie Helen Burroughs & Minnesota Ave NE,classic,38,active,2021/11/01 04:55:25+00,1,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9880412779697,38.8673807817059,28467896,38.867373,-76.988039,Good Hope Rd & MLK Ave SE,classic,40,active,2021/11/01 08:41:58+00,4,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0436022963008,38.895207785953,28467897,38.8952,-77.0436,19th & E Street NW,classic,41,active,2021/11/01 09:45:15+00,6,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0006502849956,38.9190847923507,28467898,38.919077,-77.000648,4th & W St NE,classic,42,active,2021/11/01 11:06:30+00,12,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0259022931643,38.9172077910495,28467899,38.9172,-77.0259,10th & U St NW,classic,43,active,2021/11/01 10:16:40+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0222022921044,38.9249077923453,28467900,38.9249,-77.0222,Georgia Ave and Fairmont St NW,classic,44,active,2021/11/01 11:02:44+00,10,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.005702284184,38.8743077829029,28467901,38.8743,-77.0057,1st & N St SE,classic,45,active,2021/11/01 10:44:27+00,25,0,13,1,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,39,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0446022983091,38.9154077898826,28467902,38.9154,-77.0446,20th St & Florida Ave NW,classic,46,active,2021/11/01 11:00:06+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0222022908545,38.9155077900928,28467903,38.9155,-77.0222,7th & T St NW,classic,47,active,2021/11/01 10:15:10+00,14,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0534142977735,38.8543887766858,28467904,38.854381,-77.053412,Eads St & 22nd St S,classic,48,active,2021/11/01 09:54:50+00,3,0,11,3,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",41,2021/11/01 11:17:48+00,,"Arlington, VA"
-77.0037022828834,38.876307783066,28467905,38.8763,-77.0037,M St & New Jersey Ave SE,classic,49,active,2021/11/01 10:46:23+00,7,0,8,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0444022976075,38.9101077881762,28467906,38.9101,-77.0444,Massachusetts Ave & Dupont Circle NW,classic,51,active,2021/11/01 11:13:23+00,2,0,41,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,45,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0054852852958,38.9057047895082,28467907,38.905697,-77.005483,1st & M St NE,classic,52,active,2021/11/01 11:10:44+00,4,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0473202986222,38.9057187878528,28467908,38.905711,-77.047318,New Hampshire Ave & Ward Pl NW,classic,53,active,2021/11/01 11:15:43+00,5,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0386322952254,38.9027677877434,28467909,38.90276,-77.03863,17th & K St NW,classic,54,active,2021/11/01 11:09:18+00,6,0,16,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
