X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_URL
-77.1646296827464,39.119935150303,72,mstn_37,Shady Grove,https://www.wmata.com/rider-guide/stations/shady-grove.cfm,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A15|Shady%20Grove
-77.1461276796774,39.0843294264356,73,mstn_38,Rockville,https://www.wmata.com/rider-guide/stations/rockville.cfm,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A14|Rockville
-77.120820282923,39.0624754671456,74,mstn_39,Twinbrook,https://www.wmata.com/rider-guide/stations/twinbrook.cfm,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A13|Twinbrook
-77.1128321868167,39.0481591701957,75,mstn_40,White Flint,https://www.wmata.com/rider-guide/stations/white-flint.cfm,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A12|White%20Flint
-77.1038520438304,39.02927675944,76,mstn_41,Grosvenor-Strathmore,https://www.wmata.com/rider-guide/stations/grosvenor.cfm,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A11|Grosvenor-Strathmore
-77.0969546104114,39.0000642881478,77,mstn_42,Medical Center,https://www.wmata.com/rider-guide/stations/medical-center.cfm,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A10|Medical Center
-77.0941315102505,38.9844014611514,78,mstn_43,Bethesda,https://www.wmata.com/rider-guide/stations/bethesda.cfm,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A09|Bethesda
-77.0502800382973,38.9007057947685,79,mstn_44,Foggy Bottom GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"2301 I STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU
-77.0871335411173,38.8901833132623,80,mstn_45,Court House,https://www.wmata.com/rider-guide/stations/court-house.cfm,"2100 WILSON BLVD, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K01|Court House
-77.0953964107811,38.88671262011,81,mstn_46,Clarendon,https://www.wmata.com/rider-guide/stations/clarendon.cfm,"3100 WILSON BLVD, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K02|Clarendon
-77.1568853515052,38.8859609449565,82,mstn_47,East Falls Church,https://www.wmata.com/rider-guide/stations/e-falls-church.cfm,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K05|East Falls Church
-77.1029796087921,38.8833739318822,83,mstn_48,Virginia Square-GMU,https://www.wmata.com/rider-guide/stations/virginia-sq.cfm,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K03|Virginia%20Square-GMU
-77.1131711527362,38.88219065327,84,mstn_49,Ballston-MU,https://www.wmata.com/rider-guide/stations/ballston.cfm,"4230 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K04|Ballston-MU
-77.0406977114452,38.9013206802029,85,mstn_50,Farragut West,https://www.wmata.com/rider-guide/stations/farragut-west.cfm,"900 18TH STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C03|Farragut West
-77.0397031233431,38.9032097327095,86,mstn_51,Farragut North,https://www.wmata.com/rider-guide/stations/farragut-north.cfm,"1001 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A02|Farragut North
-77.0524203221932,38.9250929274775,87,mstn_52,Woodley Park-Zoo Adams Morgan,https://www.wmata.com/rider-guide/stations/woodley-park.cfm,"2700 24TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A04|Woodley%20Park-Zoo/Adams%20Morgan
-77.0219107735302,38.884845511313,88,mstn_53,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"600 MARYLAND AVENUE SW, WASHINGTON, DC","grn, yllw, orange, blue, slvr","https://www.wmata.com/js/nexttrain/nexttrain.html#F03,D03|L'Enfant Plaza"
-77.0280685258322,38.8880264858646,89,mstn_54,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D02|Smithsonian
-77.0219166779745,38.8936730087034,1,mstn_57,Archives-Navy Mem'l,https://www.wmata.com/rider-guide/stations/archives.cfm,"701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#F02|Archives-Navy Memorial-Penn Quarter
-77.0175074963564,38.8764696487715,2,mstn_58,Waterfront,https://www.wmata.com/rider-guide/stations/waterfront.cfm,"399 M STREET SW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F04|Waterfront
-77.0440445887926,38.8534241622265,3,mstn_59,Ronald Reagan Washington National Airport,https://www.wmata.com/rider-guide/stations/national-airport.cfm,"2400 S. SMITH BLVD., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C10|Ronald%20Reagan%20Washington%20National%20Airport
-77.1291138412854,38.7993154341559,4,mstn_60,Van Dorn Street,https://www.wmata.com/rider-guide/stations/van-dorn-st.cfm,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#J02|Van%20Dorn%20Street
-77.1679725080929,38.7665296467534,5,mstn_61,Franconia-Springfield,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm,"6880 FRONTIER DRIVE, SPRINGFIELD, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#J03|Franconia-Springfield
-77.0158705045136,38.8850801388183,6,mstn_62,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"401 3RD STREET SW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D04|Federal Center SW
-77.0166412451066,38.8960981035303,7,mstn_63,Judiciary Sq,https://www.wmata.com/rider-guide/stations/judiciary-sq.cfm,"450 F STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B02|Judiciary Square
-77.0051417041544,38.8850702849962,8,mstn_64,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"355 1ST STREET SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D05|Capitol South
-77.0280802893592,38.8983222591023,9,mstn_65,Metro Center,https://www.wmata.com/rider-guide/stations/metro-center.cfm,"607 13TH STREET NW, WASHINGTON, DC","red, blue, orange, silver","https://www.wmata.com/js/nexttrain/nexttrain.html#A01,C01|Metro Center"
-77.0219176806835,38.898324595916,10,mstn_66,Gallery Pl-Chinatown,https://www.wmata.com/rider-guide/stations/gallery-place.cfm,"630 H STREET NW, WASHINGTON, DC","red, green, yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B01,F01|Gallery Pl-Chinatown"
-77.0219166711418,38.9064446027085,11,mstn_67,Mt Vernon Sq - 7th St Convention Center,https://www.wmata.com/rider-guide/stations/mt-vernon-sq.cfm,"700 M STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E01|Mt Vernon Sq 7th St-Convention Center
-77.027498186088,38.9170101889228,12,mstn_68,U St/African-Amer Civil War Memorial/Cardozo,https://www.wmata.com/rider-guide/stations/u-street.cfm,"1300 U STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E03|U%20Street/African-Amer%20Civil%20War%20Memorial/Cardozo
-77.0074165779102,38.8977738257841,13,mstn_69,Union Station,https://www.wmata.com/rider-guide/stations/union-station.cfm,"701 1ST STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B03|Union%20Station
-76.9885142092577,38.8456654796114,14,mstn_70,Congress Heights,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm,"1290 ALABAMA AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F07|Congress Heights
-76.9562649764053,38.8513091626614,15,mstn_71,Naylor Road,https://www.wmata.com/rider-guide/stations/naylor-rd.cfm,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F09|Naylor Road
-76.9318724178634,38.8439723329151,16,mstn_72,Suitland,https://www.wmata.com/rider-guide/stations/suitland.cfm,"4500 SILVER HILL ROAD, SUITLAND, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F10|Suitland
